nama_kategori,nama_produk,tgl_transaksi,nama_cabang,nilai_jual,jumlah_unit
Makanan & Minuman,snack gurih 1 ons,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 738,400 ", 142 
Makanan & Minuman,kacang goreng 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,156,150 ", 95 
Makanan & Minuman,kacang mete 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 7,948,080 ", 114 
Makanan & Minuman,markisa 600 ml,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 901,760 ", 64 
Makanan & Minuman,bumbu fried chicken,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,923,390 ", 129 
Makanan & Minuman,susu kotak 1 l,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 527,280 ", 52 
Makanan & Minuman,minuman probiotik,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 119,210 ", 131 
Buah,jeruk 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,594,270 ", 131 
Buah,apel 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,116,769,280 "," 20,224 "
Buah,alpukat 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 291,840 ", 48 
Buah,belimbing 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 492,280 ", 124 
Buah,durian 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,502,300 ", 83 
Buah,kelapa muda,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 425,000 ", 85 
Buah,mangga 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,497,680 ", 97 
Buah,Manggis 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 3,080,000 ", 154 
Buah,nenas 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,185,340 ", 194 
Buah,nangka 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 161,272,320 "," 5,312 "
Buah,pepaya 1 buah,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 695,520 ", 138 
Buah,pisang 1 sisir,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 730,620 ", 123 
Buah,rambutan 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 348,390 ", 63 
Buah,salak 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,050,000 ", 70 
Buah,semangka 1 buah,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,370,250 ", 105 
Sayur-Sayuran,Bawang Merah / Onion 1kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 690,480 ", 63 
Sayur-Sayuran,buncis 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 913,960 ", 146 
Sayur-Sayuran,kacang panjang 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 856,480 ", 106 
Sayur-Sayuran,kacang hijau 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 537,750 ", 75 
Sayur-Sayuran,kentang 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 77,050,880 "," 9,536 "
Sayur-Sayuran,ketimun 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 454,720 ", 98 
Sayur-Sayuran,kobis 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 121,980 ", 114 
Sayur-Sayuran,tomat 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 580,560 ", 123 
Sayur-Sayuran,ubi kayu basah 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 107,800 ", 98 
Sayur-Sayuran,ubi jalar 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 136,850 ", 115 
Sayur-Sayuran,wortel 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 276,500 ", 79 
Makanan & Minuman,susu kotak (800 ml),1/1/2008 0:00,PHI Mini Market - Surabaya 01," 444,600 ", 36 
Makanan & Minuman,telur ayam ras 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 763,130 ", 67 
Makanan & Minuman,telur ayam kampung 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 2,075,360 ", 109 
Makanan & Minuman,mie instant 1 kotak (40 bungkus),1/1/2008 0:00,PHI Mini Market - Surabaya 01," 7,488,000 ", 78 
Makanan & Minuman,air mineral 600 ml,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 49,610 ", 41 
Makanan & Minuman,jus kesehatan 600 ml,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 1,052,560 ", 118 
Makanan & Minuman,nasi goreng instant (1 ons),1/1/2008 0:00,PHI Mini Market - Surabaya 01," 598,000 ", 100 
Makanan & Minuman,snack gurih 1 ons,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 449,790 ", 87 
Makanan & Minuman,kacang goreng 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 736,880 ", 61 
Makanan & Minuman,kacang mete 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 6,916,140 ", 99 
Makanan & Minuman,markisa 600 ml,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 950,640 ", 68 
Makanan & Minuman,bumbu fried chicken,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 858,420 ", 57 
Makanan & Minuman,susu kotak 1 l,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 455,400 ", 45 
Makanan & Minuman,minuman probiotik,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 92,700 ", 103 
Buah,jeruk 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 698,900 ", 58 
Buah,apel 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 1,305,722,880 "," 23,552 "
Buah,alpukat 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 531,520 ", 88 
Buah,belimbing 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 492,280 ", 124 
Buah,durian 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 2,642,600 ", 146 
Buah,kelapa muda,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 405,900 ", 82 
Buah,mangga 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 1,293,970 ", 83 
Buah,Manggis 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 1,758,640 ", 89 
Buah,nenas 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 658,800 ", 108 
Buah,nangka 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 275,109,120 "," 9,152 "
Buah,pepaya 1 buah,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 330,000 ", 66 
Buah,pisang 1 sisir,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 906,000 ", 151 
Buah,rambutan 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 574,740 ", 103 
Buah,salak 1 kg,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 1,980,720 ", 131 
Buah,semangka 1 buah,1/1/2008 0:00,PHI Mini Market - Surabaya 01," 1,499,940 ", 117 
Sayur-Sayuran,Bawang Merah / Onion 1kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,206,630 ", 109 
Sayur-Sayuran,buncis 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,067,600 ", 170 
Sayur-Sayuran,kacang panjang 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 648,620 ", 82 
Sayur-Sayuran,kacang hijau 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 499,100 ", 70 
Sayur-Sayuran,kentang 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 23,853,440 "," 3,008 "
Sayur-Sayuran,ketimun 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 210,680 ", 46 
Sayur-Sayuran,kobis 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 114,480 ", 108 
Sayur-Sayuran,tomat 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 278,480 ", 59 
Sayur-Sayuran,ubi kayu basah 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 162,410 ", 149 
Sayur-Sayuran,ubi jalar 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 162,140 ", 134 
Sayur-Sayuran,wortel 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 308,850 ", 87 
Makanan & Minuman,susu kotak (800 ml),1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,057,050 ", 87 
Makanan & Minuman,telur ayam ras 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,435,140 ", 126 
Makanan & Minuman,telur ayam kampung 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 3,095,820 ", 162 
Makanan & Minuman,mie instant 1 kotak (40 bungkus),1/2/2008 0:00,PHI Mini Market - Makassar 01," 8,503,380 ", 87 
Makanan & Minuman,air mineral 600 ml,1/2/2008 0:00,PHI Mini Market - Makassar 01," 71,390 ", 59 
Makanan & Minuman,jus kesehatan 600 ml,1/2/2008 0:00,PHI Mini Market - Makassar 01," 726,520 ", 82 
Makanan & Minuman,nasi goreng instant (1 ons),1/2/2008 0:00,PHI Mini Market - Makassar 01," 470,340 ", 78 
Makanan & Minuman,snack gurih 1 ons,1/2/2008 0:00,PHI Mini Market - Makassar 01," 589,120 ", 112 
Makanan & Minuman,kacang goreng 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 660,800 ", 56 
Makanan & Minuman,kacang mete 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 8,288,280 ", 117 
Makanan & Minuman,markisa 600 ml,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,491,580 ", 107 
Makanan & Minuman,bumbu fried chicken,1/2/2008 0:00,PHI Mini Market - Makassar 01," 3,343,320 ", 222 
Makanan & Minuman,susu kotak 1 l,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,958,180 ", 197 
Makanan & Minuman,minuman probiotik,1/2/2008 0:00,PHI Mini Market - Makassar 01," 44,590 ", 49 
Buah,jeruk 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,679,460 ", 138 
Buah,apel 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,312,058,880 "," 23,808 "
Buah,alpukat 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 402,000 ", 67 
Buah,belimbing 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 420,000 ", 105 
Buah,durian 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 1,811,000 ", 100 
Buah,kelapa muda,1/2/2008 0:00,PHI Mini Market - Makassar 01," 430,860 ", 86 
Buah,mangga 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 2,737,640 ", 178 
Buah,Manggis 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 2,237,760 ", 111 
Buah,nenas 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 564,510 ", 93 
Buah,nangka 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 102,167,040 "," 3,392 "
Buah,pepaya 1 buah,1/2/2008 0:00,PHI Mini Market - Makassar 01," 410,850 ", 83 
Buah,pisang 1 sisir,1/2/2008 0:00,PHI Mini Market - Makassar 01," 483,200 ", 80 
Buah,rambutan 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 374,000 ", 68 
Buah,salak 1 kg,1/2/2008 0:00,PHI Mini Market - Makassar 01," 2,751,840 ", 182 
Buah,semangka 1 buah,1/2/2008 0:00,PHI Mini Market - Makassar 01," 2,572,800 ", 201 
Sayur-Sayuran,Bawang Merah / Onion 1kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,069,440 ", 96 
Sayur-Sayuran,buncis 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 914,340 ", 147 
Sayur-Sayuran,kacang panjang 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,006,250 ", 125 
Sayur-Sayuran,kacang hijau 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 840,140 ", 119 
Sayur-Sayuran,kentang 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 40,235,520 "," 4,992 "
Sayur-Sayuran,ketimun 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 565,800 ", 123 
Sayur-Sayuran,kobis 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 204,580 ", 193 
Sayur-Sayuran,tomat 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 336,960 ", 72 
Sayur-Sayuran,ubi kayu basah 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 48,400 ", 44 
Sayur-Sayuran,ubi jalar 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 174,240 ", 144 
Sayur-Sayuran,wortel 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 304,440 ", 86 
Makanan & Minuman,susu kotak (800 ml),1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,016,400 ", 84 
Makanan & Minuman,telur ayam ras 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,387,560 ", 124 
Makanan & Minuman,telur ayam kampung 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,028,160 ", 54 
Makanan & Minuman,mie instant 1 kotak (40 bungkus),1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 13,089,600 ", 135 
Makanan & Minuman,air mineral 600 ml,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 162,000 ", 135 
Makanan & Minuman,jus kesehatan 600 ml,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 544,730 ", 61 
Makanan & Minuman,nasi goreng instant (1 ons),1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 841,800 ", 138 
Makanan & Minuman,snack gurih 1 ons,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 362,250 ", 69 
Makanan & Minuman,kacang goreng 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,001,280 ", 84 
Makanan & Minuman,kacang mete 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 10,817,100 ", 153 
Makanan & Minuman,markisa 600 ml,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,175,550 ", 85 
Makanan & Minuman,bumbu fried chicken,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,972,860 ", 131 
Makanan & Minuman,susu kotak 1 l,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 994,000 ", 100 
Makanan & Minuman,minuman probiotik,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 68,250 ", 75 
Buah,jeruk 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,032,750 ", 85 
Buah,apel 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 503,838,720 "," 9,216 "
Buah,alpukat 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 531,570 ", 87 
Buah,belimbing 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 386,880 ", 96 
Buah,durian 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,611,790 ", 89 
Buah,kelapa muda,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 563,880 ", 111 
Buah,mangga 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,937,500 ", 125 
Buah,Manggis 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,046,240 ", 52 
Buah,nenas 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 668,800 ", 110 
Buah,nangka 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 182,764,800 "," 6,080 "
Buah,pepaya 1 buah,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 249,500 ", 50 
Buah,pisang 1 sisir,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,036,270 ", 173 
Buah,rambutan 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 639,990 ", 117 
Buah,salak 1 kg,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,636,800 ", 110 
Buah,semangka 1 buah,1/2/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,246,080 ", 96 
Sayur-Sayuran,Bawang Merah / Onion 1kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,688,180 ", 151 
Sayur-Sayuran,buncis 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 510,040 ", 82 
Sayur-Sayuran,kacang panjang 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 755,250 ", 95 
Sayur-Sayuran,kacang hijau 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 546,700 ", 77 
Sayur-Sayuran,kentang 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 25,213,440 "," 3,136 "
Sayur-Sayuran,ketimun 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 410,400 ", 90 
Sayur-Sayuran,kobis 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 58,300 ", 55 
Sayur-Sayuran,tomat 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 205,110 ", 43 
Sayur-Sayuran,ubi kayu basah 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 76,300 ", 70 
Sayur-Sayuran,ubi jalar 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 217,800 ", 180 
Sayur-Sayuran,wortel 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 290,500 ", 83 
Makanan & Minuman,susu kotak (800 ml),1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,999,800 ", 165 
Makanan & Minuman,telur ayam ras 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,193,560 ", 106 
Makanan & Minuman,telur ayam kampung 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 955,500 ", 50 
Makanan & Minuman,mie instant 1 kotak (40 bungkus),1/2/2008 0:00,PHI Mini Market - Surabaya 01," 14,138,460 ", 147 
Makanan & Minuman,air mineral 600 ml,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 90,750 ", 75 
Makanan & Minuman,jus kesehatan 600 ml,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 275,280 ", 31 
Makanan & Minuman,nasi goreng instant (1 ons),1/2/2008 0:00,PHI Mini Market - Surabaya 01," 574,750 ", 95 
Makanan & Minuman,snack gurih 1 ons,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 733,600 ", 140 
Makanan & Minuman,kacang goreng 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,740,320 ", 146 
Makanan & Minuman,kacang mete 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 5,320,000 ", 76 
Makanan & Minuman,markisa 600 ml,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 2,212,000 ", 158 
Makanan & Minuman,bumbu fried chicken,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,324,320 ", 89 
Makanan & Minuman,susu kotak 1 l,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,010,000 ", 101 
Makanan & Minuman,minuman probiotik,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 56,070 ", 63 
Buah,jeruk 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,752,000 ", 146 
Buah,apel 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 410,769,920 "," 7,424 "
Buah,alpukat 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 841,400 ", 140 
Buah,belimbing 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 427,180 ", 106 
Buah,durian 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 1,395,420 ", 78 
Buah,kelapa muda,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 190,760 ", 38 
Buah,mangga 1 kg,1/2/2008 0:00,PHI Mini Market - Surabaya 01," 2,256,450 ", 147 
