kode_produk;tgl_berlaku;kode_cabang;kode_cabang_1;harga_berlaku_cabang;modal_cabang;biaya_cabang
PROD-0000035;2008-01-02;CABANG-039;039;6050;5750;20
PROD-0000036;2008-01-02;CABANG-039;039;30420;28900;240
PROD-0000037;2008-01-02;CABANG-039;039;4950;4720;10
PROD-0000038;2008-01-02;CABANG-039;039;6010;5710;110
PROD-0000039;2008-01-02;CABANG-039;039;5430;5200;110
PROD-0000040;2008-01-02;CABANG-039;039;15060;14180;200
PROD-0000041;2008-01-02;CABANG-039;039;12980;12320;210
PROD-0000001;2008-01-03;CABANG-039;039;11180;10620;20
PROD-0000002;2008-01-03;CABANG-039;039;4210;4020;70
PROD-0000003;2008-01-03;CABANG-039;039;6180;5830;120
PROD-0000004;2008-01-03;CABANG-039;039;7990;7590;90
PROD-0000005;2008-01-03;CABANG-039;039;7180;6820;160
PROD-0000006;2008-01-03;CABANG-039;039;8030;7570;60
PROD-0000007;2008-01-03;CABANG-039;039;4610;4370;50
PROD-0000008;2008-01-03;CABANG-039;039;1050;1000;10
PROD-0000009;2008-01-03;CABANG-039;039;4650;4440;80
PROD-0000010;2008-01-03;CABANG-039;039;1120;1070;0
PROD-0000011;2008-01-03;CABANG-039;039;1180;1120;30
PROD-0000012;2008-01-03;CABANG-039;039;3560;3360;60
PROD-0000013;2008-01-03;CABANG-039;039;12270;11650;80
PROD-0000014;2008-01-03;CABANG-039;039;11270;10620;120
PROD-0000015;2008-01-03;CABANG-039;039;18890;17930;30
PROD-0000016;2008-01-03;CABANG-039;039;95420;90880;50
PROD-0000017;2008-01-03;CABANG-039;039;1200;1140;0
PROD-0000018;2008-01-03;CABANG-039;039;8940;8450;170
PROD-0000019;2008-01-03;CABANG-039;039;5980;5650;40
PROD-0000020;2008-01-03;CABANG-039;039;5250;5010;0
PROD-0000021;2008-01-03;CABANG-039;039;12000;11400;250
PROD-0000022;2008-01-03;CABANG-039;039;70420;66900;920
PROD-0000023;2008-01-03;CABANG-039;039;14200;13380;240
PROD-0000024;2008-01-03;CABANG-039;039;15000;14200;340
PROD-0000025;2008-01-03;CABANG-039;039;9960;9460;40
PROD-0000026;2008-01-03;CABANG-039;039;890;850;0
PROD-0000027;2008-01-03;CABANG-039;039;11950;11430;200
PROD-0000028;2008-01-03;CABANG-039;039;55220;52460;1050
PROD-0000029;2008-01-03;CABANG-039;039;5970;5610;90
PROD-0000030;2008-01-03;CABANG-039;039;3970;3800;20
PROD-0000031;2008-01-03;CABANG-039;039;17890;17000;20
PROD-0000032;2008-01-03;CABANG-039;039;5040;4760;40
PROD-0000033;2008-01-03;CABANG-039;039;15440;14670;340
PROD-0000034;2008-01-03;CABANG-039;039;19920;18870;100
PROD-0000035;2008-01-03;CABANG-039;039;6120;5810;60
PROD-0000036;2008-01-03;CABANG-039;039;30060;28510;450
PROD-0000037;2008-01-03;CABANG-039;039;4980;4700;10
PROD-0000038;2008-01-03;CABANG-039;039;6040;5730;80
PROD-0000039;2008-01-03;CABANG-039;039;5470;5160;80
PROD-0000040;2008-01-03;CABANG-039;039;15120;14300;80
PROD-0000041;2008-01-03;CABANG-039;039;13130;12470;300
PROD-0000001;2008-01-04;CABANG-039;039;11000;10490;0
PROD-0000002;2008-01-04;CABANG-039;039;4260;4070;80
PROD-0000003;2008-01-04;CABANG-039;039;6200;5920;110
PROD-0000004;2008-01-04;CABANG-039;039;8080;7670;110
PROD-0000005;2008-01-04;CABANG-039;039;7130;6760;100
PROD-0000006;2008-01-04;CABANG-039;039;8050;7570;170
PROD-0000007;2008-01-04;CABANG-039;039;4590;4400;100
PROD-0000008;2008-01-04;CABANG-039;039;1090;1030;0
PROD-0000009;2008-01-04;CABANG-039;039;4730;4530;110
PROD-0000010;2008-01-04;CABANG-039;039;1100;1040;0
PROD-0000011;2008-01-04;CABANG-039;039;1190;1130;0
PROD-0000012;2008-01-04;CABANG-039;039;3570;3390;70
PROD-0000013;2008-01-04;CABANG-039;039;12180;11570;120
PROD-0000014;2008-01-04;CABANG-039;039;11300;10730;110
PROD-0000015;2008-01-04;CABANG-039;039;19340;18370;300
PROD-0000016;2008-01-04;CABANG-039;039;96960;91550;1120
PROD-0000017;2008-01-04;CABANG-039;039;1210;1150;10
PROD-0000018;2008-01-04;CABANG-039;039;8990;8500;170
PROD-0000019;2008-01-04;CABANG-039;039;5920;5650;130
PROD-0000020;2008-01-04;CABANG-039;039;5260;5030;120
PROD-0000021;2008-01-04;CABANG-039;039;12170;11630;170
PROD-0000022;2008-01-04;CABANG-039;039;70280;66950;770
PROD-0000023;2008-01-04;CABANG-039;039;14140;13440;60
PROD-0000024;2008-01-04;CABANG-039;039;15060;14200;30
PROD-0000025;2008-01-04;CABANG-039;039;10020;9440;110
PROD-0000026;2008-01-04;CABANG-039;039;890;840;0
PROD-0000027;2008-01-04;CABANG-039;039;12170;11650;250
PROD-0000028;2008-01-04;CABANG-039;039;55330;52560;550
PROD-0000029;2008-01-04;CABANG-039;039;5900;5610;0
PROD-0000030;2008-01-04;CABANG-039;039;4010;3790;10
PROD-0000031;2008-01-04;CABANG-039;039;18040;17140;300
PROD-0000032;2008-01-04;CABANG-039;039;5000;4750;50
PROD-0000033;2008-01-04;CABANG-039;039;15500;14870;330
PROD-0000034;2008-01-04;CABANG-039;039;19880;19020;390
PROD-0000035;2008-01-04;CABANG-039;039;6010;5650;20
PROD-0000036;2008-01-04;CABANG-039;039;30300;28480;30
PROD-0000037;2008-01-04;CABANG-039;039;5010;4760;100
PROD-0000038;2008-01-04;CABANG-039;039;6030;5730;40
PROD-0000039;2008-01-04;CABANG-039;039;5470;5210;10
PROD-0000040;2008-01-04;CABANG-039;039;14790;13920;40
PROD-0000041;2008-01-04;CABANG-039;039;13000;12240;180
PROD-0000001;2008-01-05;CABANG-039;039;10840;10380;120
PROD-0000002;2008-01-05;CABANG-039;039;4270;4050;30
PROD-0000003;2008-01-05;CABANG-039;039;6200;5830;100
PROD-0000004;2008-01-05;CABANG-039;039;7900;7510;100
PROD-0000005;2008-01-05;CABANG-039;039;7140;6790;160
PROD-0000006;2008-01-05;CABANG-039;039;7920;7460;150
PROD-0000007;2008-01-05;CABANG-039;039;4650;4380;50
PROD-0000008;2008-01-05;CABANG-039;039;1090;1030;20
PROD-0000009;2008-01-05;CABANG-039;039;4760;4520;10
PROD-0000010;2008-01-05;CABANG-039;039;1100;1040;10
PROD-0000011;2008-01-05;CABANG-039;039;1180;1120;20
PROD-0000012;2008-01-05;CABANG-039;039;3500;3340;40
PROD-0000013;2008-01-05;CABANG-039;039;12320;11710;40
PROD-0000014;2008-01-05;CABANG-039;039;11300;10630;60
PROD-0000015;2008-01-05;CABANG-039;039;19110;18150;220
PROD-0000016;2008-01-05;CABANG-039;039;95610;91080;240
PROD-0000017;2008-01-05;CABANG-039;039;1220;1170;0
PROD-0000018;2008-01-05;CABANG-039;039;8860;8380;10
PROD-0000019;2008-01-05;CABANG-039;039;5960;5660;50
PROD-0000020;2008-01-05;CABANG-039;039;5190;4890;90
PROD-0000021;2008-01-05;CABANG-039;039;12090;11490;80
PROD-0000022;2008-01-05;CABANG-039;039;70280;67050;810
PROD-0000023;2008-01-05;CABANG-039;039;14000;13380;170
PROD-0000024;2008-01-05;CABANG-039;039;15270;14510;260
PROD-0000025;2008-01-05;CABANG-039;039;10100;9650;150
PROD-0000026;2008-01-05;CABANG-039;039;890;850;20
PROD-0000027;2008-01-05;CABANG-039;039;12090;11390;40
PROD-0000028;2008-01-05;CABANG-039;039;55440;52980;1000
PROD-0000029;2008-01-05;CABANG-039;039;5960;5620;130
PROD-0000030;2008-01-05;CABANG-039;039;4040;3830;80
PROD-0000031;2008-01-05;CABANG-039;039;17750;16880;390
PROD-0000032;2008-01-05;CABANG-039;039;4990;4760;30
PROD-0000033;2008-01-05;CABANG-039;039;15590;14750;370
PROD-0000034;2008-01-05;CABANG-039;039;20160;19320;30
PROD-0000035;2008-01-05;CABANG-039;039;5900;5660;0
PROD-0000036;2008-01-05;CABANG-039;039;30000;28560;540
PROD-0000037;2008-01-05;CABANG-039;039;5030;4810;0
PROD-0000038;2008-01-05;CABANG-039;039;6040;5770;120
PROD-0000039;2008-01-05;CABANG-039;039;5470;5190;30
PROD-0000040;2008-01-05;CABANG-039;039;14940;14190;160
PROD-0000041;2008-01-05;CABANG-039;039;12950;12300;320
PROD-0000001;2008-01-06;CABANG-039;039;11070;10440;270
PROD-0000002;2008-01-06;CABANG-039;039;4260;4050;90
PROD-0000003;2008-01-06;CABANG-039;039;6250;5940;40
PROD-0000004;2008-01-06;CABANG-039;039;7950;7510;110
PROD-0000005;2008-01-06;CABANG-039;039;7170;6840;150
PROD-0000006;2008-01-06;CABANG-039;039;7970;7570;150
PROD-0000007;2008-01-06;CABANG-039;039;4600;4330;60
PROD-0000008;2008-01-06;CABANG-039;039;1060;1010;10
PROD-0000009;2008-01-06;CABANG-039;039;4680;4410;10
PROD-0000010;2008-01-06;CABANG-039;039;1090;1040;10
PROD-0000011;2008-01-06;CABANG-039;039;1190;1130;10
PROD-0000012;2008-01-06;CABANG-039;039;3470;3300;70
PROD-0000013;2008-01-06;CABANG-039;039;12320;11650;300
PROD-0000014;2008-01-06;CABANG-039;039;11340;10770;40
PROD-0000015;2008-01-06;CABANG-039;039;19150;18190;300
PROD-0000016;2008-01-06;CABANG-039;039;96380;91560;2170
PROD-0000017;2008-01-06;CABANG-039;039;1210;1150;10
PROD-0000018;2008-01-06;CABANG-039;039;8790;8340;110
PROD-0000019;2008-01-06;CABANG-039;039;6030;5710;40
PROD-0000020;2008-01-06;CABANG-039;039;5230;4950;110
PROD-0000021;2008-01-06;CABANG-039;039;11970;11400;130
PROD-0000022;2008-01-06;CABANG-039;039;70280;66770;770
PROD-0000023;2008-01-06;CABANG-039;039;14110;13290;290
PROD-0000024;2008-01-06;CABANG-039;039;14910;14170;100
PROD-0000025;2008-01-06;CABANG-039;039;10100;9660;10
PROD-0000026;2008-01-06;CABANG-039;039;910;870;20
PROD-0000027;2008-01-06;CABANG-039;039;12020;11420;100
PROD-0000028;2008-01-06;CABANG-039;039;54560;51740;790
PROD-0000029;2008-01-06;CABANG-039;039;6050;5750;10
PROD-0000030;2008-01-06;CABANG-039;039;3980;3780;20
PROD-0000031;2008-01-06;CABANG-039;039;18030;17130;120
PROD-0000032;2008-01-06;CABANG-039;039;5020;4770;50
PROD-0000033;2008-01-06;CABANG-039;039;15790;14910;320
PROD-0000034;2008-01-06;CABANG-039;039;19840;18690;200
PROD-0000035;2008-01-06;CABANG-039;039;6000;5680;30
PROD-0000036;2008-01-06;CABANG-039;039;29940;28720;120
PROD-0000037;2008-01-06;CABANG-039;039;5080;4830;100
PROD-0000038;2008-01-06;CABANG-039;039;5980;5670;110
PROD-0000039;2008-01-06;CABANG-039;039;5470;5190;110
PROD-0000040;2008-01-06;CABANG-039;039;14910;14150;100
PROD-0000041;2008-01-06;CABANG-039;039;13080;12480;230
PROD-0000001;2008-01-07;CABANG-039;039;10980;10430;70
PROD-0000002;2008-01-07;CABANG-039;039;4200;3990;90
PROD-0000003;2008-01-07;CABANG-039;039;6100;5800;120
PROD-0000004;2008-01-07;CABANG-039;039;8080;7680;170
PROD-0000005;2008-01-07;CABANG-039;039;7080;6690;70
PROD-0000006;2008-01-07;CABANG-039;039;8080;7740;60
PROD-0000007;2008-01-07;CABANG-039;039;4610;4400;30
PROD-0000008;2008-01-07;CABANG-039;039;1070;1030;20
PROD-0000009;2008-01-07;CABANG-039;039;4780;4560;30
PROD-0000010;2008-01-07;CABANG-039;039;1100;1050;0
PROD-0000011;2008-01-07;CABANG-039;039;1200;1140;0
PROD-0000012;2008-01-07;CABANG-039;039;3520;3330;20
PROD-0000013;2008-01-07;CABANG-039;039;12270;11730;100
PROD-0000014;2008-01-07;CABANG-039;039;11250;10720;40
PROD-0000015;2008-01-07;CABANG-039;039;19030;17920;30
PROD-0000016;2008-01-07;CABANG-039;039;96000;90320;290
PROD-0000017;2008-01-07;CABANG-039;039;1200;1140;10
PROD-0000018;2008-01-07;CABANG-039;039;9030;8570;140
PROD-0000019;2008-01-07;CABANG-039;039;6070;5800;150
PROD-0000020;2008-01-07;CABANG-039;039;5300;4990;90
PROD-0000021;2008-01-07;CABANG-039;039;11910;11300;80
PROD-0000022;2008-01-07;CABANG-039;039;70000;66500;980
PROD-0000023;2008-01-07;CABANG-039;039;14050;13390;340
PROD-0000024;2008-01-07;CABANG-039;039;15030;14350;0
PROD-0000025;2008-01-07;CABANG-039;039;10080;9510;150
PROD-0000026;2008-01-07;CABANG-039;039;890;830;10
PROD-0000027;2008-01-07;CABANG-039;039;11980;11380;260
PROD-0000028;2008-01-07;CABANG-039;039;55220;52020;1210
PROD-0000029;2008-01-07;CABANG-039;039;5940;5590;150
PROD-0000030;2008-01-07;CABANG-039;039;3980;3780;100
PROD-0000031;2008-01-07;CABANG-039;039;18040;17140;240
PROD-0000032;2008-01-07;CABANG-039;039;4990;4740;20
PROD-0000033;2008-01-07;CABANG-039;039;15560;14660;310
PROD-0000034;2008-01-07;CABANG-039;039;19960;18950;490
PROD-0000035;2008-01-07;CABANG-039;039;5970;5660;130
PROD-0000036;2008-01-07;CABANG-039;039;29880;28430;360
PROD-0000037;2008-01-07;CABANG-039;039;4980;4750;60
PROD-0000038;2008-01-07;CABANG-039;039;6030;5700;0
PROD-0000039;2008-01-07;CABANG-039;039;5530;5220;50
PROD-0000040;2008-01-07;CABANG-039;039;14880;14220;140
PROD-0000041;2008-01-07;CABANG-039;039;12920;12190;150
PROD-0000001;2008-01-08;CABANG-039;039;11070;10620;100
PROD-0000002;2008-01-08;CABANG-039;039;4190;3980;60
PROD-0000003;2008-01-08;CABANG-039;039;6240;5950;40
PROD-0000004;2008-01-08;CABANG-039;039;7920;7520;190
PROD-0000005;2008-01-08;CABANG-039;039;7080;6790;40
PROD-0000006;2008-01-08;CABANG-039;039;8020;7560;20
PROD-0000007;2008-01-08;CABANG-039;039;4540;4280;30
PROD-0000008;2008-01-08;CABANG-039;039;1070;1010;20
PROD-0000009;2008-01-08;CABANG-039;039;4770;4540;50
PROD-0000010;2008-01-08;CABANG-039;039;1100;1040;20
PROD-0000011;2008-01-08;CABANG-039;039;1210;1140;20
PROD-0000012;2008-01-08;CABANG-039;039;3480;3310;70
PROD-0000013;2008-01-08;CABANG-039;039;12340;11660;210
PROD-0000014;2008-01-08;CABANG-039;039;11460;10890;280
PROD-0000015;2008-01-08;CABANG-039;039;18810;17870;0
PROD-0000016;2008-01-08;CABANG-039;039;97740;92410;2200
PROD-0000017;2008-01-08;CABANG-039;039;1220;1170;20
PROD-0000018;2008-01-08;CABANG-039;039;8800;8350;120
PROD-0000019;2008-01-08;CABANG-039;039;6020;5720;30
PROD-0000020;2008-01-08;CABANG-039;039;5240;4980;120
PROD-0000021;2008-01-08;CABANG-039;039;11920;11310;140
PROD-0000022;2008-01-08;CABANG-039;039;69860;66150;420
PROD-0000023;2008-01-08;CABANG-039;039;13910;13150;230
PROD-0000024;2008-01-08;CABANG-039;039;15030;14390;170
PROD-0000025;2008-01-08;CABANG-039;039;10020;9510;110
PROD-0000026;2008-01-08;CABANG-039;039;910;860;20
PROD-0000027;2008-01-08;CABANG-039;039;11950;11310;90
PROD-0000028;2008-01-08;CABANG-039;039;55220;52750;640
PROD-0000029;2008-01-08;CABANG-039;039;5970;5720;50
PROD-0000030;2008-01-08;CABANG-039;039;3980;3800;30
PROD-0000031;2008-01-08;CABANG-039;039;18150;17370;220
PROD-0000032;2008-01-08;CABANG-039;039;4980;4700;30
PROD-0000033;2008-01-08;CABANG-039;039;15680;14900;290
PROD-0000034;2008-01-08;CABANG-039;039;20320;19310;20
PROD-0000035;2008-01-08;CABANG-039;039;6080;5770;60
PROD-0000036;2008-01-08;CABANG-039;039;29760;28270;210
PROD-0000037;2008-01-08;CABANG-039;039;5020;4740;90
PROD-0000038;2008-01-08;CABANG-039;039;6000;5670;110
PROD-0000039;2008-01-08;CABANG-039;039;5520;5280;60
PROD-0000040;2008-01-08;CABANG-039;039;14940;14190;100
PROD-0000041;2008-01-08;CABANG-039;039;13070;12420;240
PROD-0000001;2008-01-09;CABANG-039;039;11060;10550;20
PROD-0000002;2008-01-09;CABANG-039;039;4260;4040;100
PROD-0000003;2008-01-09;CABANG-039;039;6170;5860;70
PROD-0000004;2008-01-09;CABANG-039;039;7980;7660;140
PROD-0000005;2008-01-09;CABANG-039;039;7030;6650;50
PROD-0000006;2008-01-09;CABANG-039;039;7970;7610;150
PROD-0000007;2008-01-09;CABANG-039;039;4620;4390;90
PROD-0000008;2008-01-09;CABANG-039;039;1070;1010;10
PROD-0000009;2008-01-09;CABANG-039;039;4710;4450;30
PROD-0000010;2008-01-09;CABANG-039;039;1100;1050;10
PROD-0000011;2008-01-09;CABANG-039;039;1200;1140;0
PROD-0000012;2008-01-09;CABANG-039;039;3540;3370;0
PROD-0000013;2008-01-09;CABANG-039;039;12320;11710;150
PROD-0000014;2008-01-09;CABANG-039;039;11200;10570;120
PROD-0000015;2008-01-09;CABANG-039;039;19230;18110;280
PROD-0000016;2008-01-09;CABANG-039;039;96190;91560;1590
PROD-0000017;2008-01-09;CABANG-039;039;1190;1140;20
PROD-0000018;2008-01-09;CABANG-039;039;8940;8430;10
PROD-0000019;2008-01-09;CABANG-039;039;6060;5760;40
PROD-0000020;2008-01-09;CABANG-039;039;5200;4940;60
PROD-0000021;2008-01-09;CABANG-039;039;12000;11340;160
PROD-0000022;2008-01-09;CABANG-039;039;70980;67910;500
PROD-0000023;2008-01-09;CABANG-039;039;14140;13490;160
PROD-0000024;2008-01-09;CABANG-039;039;15090;14340;160
PROD-0000025;2008-01-09;CABANG-039;039;10200;9670;30
PROD-0000026;2008-01-09;CABANG-039;039;910;870;0
PROD-0000027;2008-01-09;CABANG-039;039;12100;11490;290
PROD-0000028;2008-01-09;CABANG-039;039;55220;52230;390
PROD-0000029;2008-01-09;CABANG-039;039;6050;5700;130
PROD-0000030;2008-01-09;CABANG-039;039;4040;3830;30
PROD-0000031;2008-01-09;CABANG-039;039;18250;17340;330
PROD-0000032;2008-01-09;CABANG-039;039;5000;4750;60
PROD-0000033;2008-01-09;CABANG-039;039;15440;14630;280
PROD-0000034;2008-01-09;CABANG-039;039;20000;19110;460
PROD-0000035;2008-01-09;CABANG-039;039;6000;5700;60
PROD-0000036;2008-01-09;CABANG-039;039;29760;28270;30
PROD-0000037;2008-01-09;CABANG-039;039;5040;4770;60
PROD-0000038;2008-01-09;CABANG-039;039;6010;5710;110
PROD-0000039;2008-01-09;CABANG-039;039;5480;5210;100
PROD-0000040;2008-01-09;CABANG-039;039;15060;14310;320
PROD-0000041;2008-01-09;CABANG-039;039;13180;12520;280
PROD-0000001;2008-01-10;CABANG-039;039;11090;10480;40
PROD-0000002;2008-01-10;CABANG-039;039;4210;3960;100
PROD-0000003;2008-01-10;CABANG-039;039;6170;5860;10
PROD-0000004;2008-01-10;CABANG-039;039;8000;7600;20
PROD-0000005;2008-01-10;CABANG-039;039;7080;6690;140
PROD-0000006;2008-01-10;CABANG-039;039;8110;7660;130
PROD-0000007;2008-01-10;CABANG-039;039;4700;4420;100
PROD-0000008;2008-01-10;CABANG-039;039;1070;1010;20
PROD-0000009;2008-01-10;CABANG-039;039;4640;4410;40
PROD-0000010;2008-01-10;CABANG-039;039;1090;1040;20
PROD-0000011;2008-01-10;CABANG-039;039;1190;1140;0
PROD-0000012;2008-01-10;CABANG-039;039;3460;3290;10
PROD-0000013;2008-01-10;CABANG-039;039;12130;11520;80
PROD-0000014;2008-01-10;CABANG-039;039;11300;10730;50
PROD-0000015;2008-01-10;CABANG-039;039;19340;18410;460
PROD-0000016;2008-01-10;CABANG-039;039;96190;90690;1880
PROD-0000017;2008-01-10;CABANG-039;039;1210;1150;20
PROD-0000018;2008-01-10;CABANG-039;039;8810;8360;50
PROD-0000019;2008-01-10;CABANG-039;039;6050;5740;130
PROD-0000020;2008-01-10;CABANG-039;039;5260;5000;130
PROD-0000021;2008-01-10;CABANG-039;039;11930;11320;210
PROD-0000022;2008-01-10;CABANG-039;039;69860;66090;800
PROD-0000023;2008-01-10;CABANG-039;039;13940;13370;80
PROD-0000024;2008-01-10;CABANG-039;039;14820;14080;340
PROD-0000025;2008-01-10;CABANG-039;039;10080;9620;110
PROD-0000026;2008-01-10;CABANG-039;039;910;870;10
PROD-0000027;2008-01-10;CABANG-039;039;11910;11370;50
PROD-0000028;2008-01-10;CABANG-039;039;54340;51620;80
PROD-0000029;2008-01-10;CABANG-039;039;6120;5800;10
PROD-0000030;2008-01-10;CABANG-039;039;4000;3800;70
PROD-0000031;2008-01-10;CABANG-039;039;17900;17020;370
PROD-0000032;2008-01-10;CABANG-039;039;5050;4800;10
PROD-0000033;2008-01-10;CABANG-039;039;15530;14760;170
PROD-0000034;2008-01-10;CABANG-039;039;20040;18980;50
PROD-0000035;2008-01-10;CABANG-039;039;6040;5720;30
PROD-0000036;2008-01-10;CABANG-039;039;30000;28500;690
PROD-0000037;2008-01-10;CABANG-039;039;5030;4820;120
PROD-0000038;2008-01-10;CABANG-039;039;5960;5660;10
PROD-0000039;2008-01-10;CABANG-039;039;5520;5280;50
PROD-0000040;2008-01-10;CABANG-039;039;15060;14430;30
PROD-0000041;2008-01-10;CABANG-039;039;13050;12290;140
PROD-0000001;2008-01-11;CABANG-039;039;10950;10340;110
PROD-0000002;2008-01-11;CABANG-039;039;4150;3910;80
PROD-0000003;2008-01-11;CABANG-039;039;6140;5780;110
PROD-0000004;2008-01-11;CABANG-039;039;8050;7720;40
PROD-0000005;2008-01-11;CABANG-039;039;7130;6770;150
PROD-0000006;2008-01-11;CABANG-039;039;8020;7620;40
PROD-0000007;2008-01-11;CABANG-039;039;4570;4340;80
PROD-0000008;2008-01-11;CABANG-039;039;1080;1020;30
PROD-0000009;2008-01-11;CABANG-039;039;4740;4490;50
PROD-0000010;2008-01-11;CABANG-039;039;1100;1050;20
PROD-0000011;2008-01-11;CABANG-039;039;1210;1140;20
PROD-0000012;2008-01-11;CABANG-039;039;3490;3340;10
PROD-0000013;2008-01-11;CABANG-039;039;12170;11450;160
PROD-0000014;2008-01-11;CABANG-039;039;11300;10840;90
PROD-0000015;2008-01-11;CABANG-039;039;18930;17930;440
PROD-0000016;2008-01-11;CABANG-039;039;95810;91020;340
PROD-0000017;2008-01-11;CABANG-039;039;1190;1130;20
PROD-0000018;2008-01-11;CABANG-039;039;8900;8410;0
PROD-0000019;2008-01-11;CABANG-039;039;5980;5680;110
PROD-0000020;2008-01-11;CABANG-039;039;5170;4910;120
PROD-0000021;2008-01-11;CABANG-039;039;12090;11430;240
PROD-0000022;2008-01-11;CABANG-039;039;69580;65890;210
PROD-0000023;2008-01-11;CABANG-039;039;14000;13300;310
PROD-0000024;2008-01-11;CABANG-039;039;14910;14160;310
