kode_produk;tgl_berlaku;harga_berlaku;modal
PROD-0000029;2008-01-07;5950;5700
PROD-0000030;2008-01-07;4000;3780
PROD-0000031;2008-01-07;18110;17100
PROD-0000032;2008-01-07;5000;4750
PROD-0000033;2008-01-07;15620;14660
PROD-0000034;2008-01-07;19840;18820
PROD-0000035;2008-01-07;6020;5750
PROD-0000036;2008-01-07;29880;28580
PROD-0000037;2008-01-07;5020;4770
PROD-0000038;2008-01-07;6020;5750
PROD-0000039;2008-01-07;5490;5220
PROD-0000040;2008-01-07;15000;14220
PROD-0000041;2008-01-07;13000;12420
PROD-0000001;2008-01-08;11090;10400
PROD-0000002;2008-01-08;4180;3970
PROD-0000003;2008-01-08;6200;5880
PROD-0000004;2008-01-08;7980;7600
PROD-0000005;2008-01-08;7140;6740
PROD-0000006;2008-01-08;8080;7600
PROD-0000007;2008-01-08;4560;4370
PROD-0000008;2008-01-08;1060;1020
PROD-0000009;2008-01-08;4720;4460
PROD-0000010;2008-01-08;1100;1040
PROD-0000011;2008-01-08;1210;1140
PROD-0000012;2008-01-08;3510;3330
PROD-0000013;2008-01-08;12270;11500
PROD-0000014;2008-01-08;11370;10690
PROD-0000015;2008-01-08;18960;17950
PROD-0000016;2008-01-08;96770;90720
PROD-0000017;2008-01-08;1210;1140
PROD-0000018;2008-01-08;8850;8380
PROD-0000019;2008-01-08;5960;5730
PROD-0000020;2008-01-08;5250;5000
PROD-0000021;2008-01-08;12020;11420
PROD-0000022;2008-01-08;69860;66500
PROD-0000023;2008-01-08;13940;13240
PROD-0000024;2008-01-08;15000;14300
PROD-0000025;2008-01-08;10100;9550
PROD-0000026;2008-01-08;900;860
PROD-0000027;2008-01-08;11900;11290
PROD-0000028;2008-01-08;55000;52250
PROD-0000029;2008-01-08;5990;5700
PROD-0000030;2008-01-08;3980;3800
PROD-0000031;2008-01-08;18040;16970
PROD-0000032;2008-01-08;5010;4780
PROD-0000033;2008-01-08;15620;14700
PROD-0000034;2008-01-08;20200;19000
PROD-0000035;2008-01-08;6040;5760
PROD-0000036;2008-01-08;30000;28500
PROD-0000037;2008-01-08;5010;4780
PROD-0000038;2008-01-08;5980;5700
PROD-0000039;2008-01-08;5530;5200
PROD-0000040;2008-01-08;14910;14250
PROD-0000041;2008-01-08;13100;12280
PROD-0000001;2008-01-09;11040;10450
PROD-0000002;2008-01-09;4230;4000
PROD-0000003;2008-01-09;6220;5830
PROD-0000004;2008-01-09;8000;7640
PROD-0000005;2008-01-09;7070;6730
PROD-0000006;2008-01-09;7970;7550
PROD-0000007;2008-01-09;4580;4370
PROD-0000008;2008-01-09;1060;1010
PROD-0000009;2008-01-09;4740;4490
PROD-0000010;2008-01-09;1100;1040
PROD-0000011;2008-01-09;1200;1130
PROD-0000012;2008-01-09;3540;3320
PROD-0000013;2008-01-09;12250;11540
PROD-0000014;2008-01-09;11250;10740
PROD-0000015;2008-01-09;19080;18050
PROD-0000016;2008-01-09;96190;91990
PROD-0000017;2008-01-09;1190;1150
PROD-0000018;2008-01-09;8900;8450
PROD-0000019;2008-01-09;6010;5650
PROD-0000020;2008-01-09;5210;4970
PROD-0000021;2008-01-09;12100;11400
PROD-0000022;2008-01-09;70560;66570
PROD-0000023;2008-01-09;14110;13180
PROD-0000024;2008-01-09;15120;14250
PROD-0000025;2008-01-09;10100;9560
PROD-0000026;2008-01-09;910;860
PROD-0000027;2008-01-09;12100;11510
PROD-0000028;2008-01-09;55220;52250
PROD-0000029;2008-01-09;6040;5690
PROD-0000030;2008-01-09;4020;3810
PROD-0000031;2008-01-09;18140;17220
PROD-0000032;2008-01-09;4980;4770
PROD-0000033;2008-01-09;15380;14600
PROD-0000034;2008-01-09;20040;19130
PROD-0000035;2008-01-09;6000;5680
PROD-0000036;2008-01-09;29880;28500
PROD-0000037;2008-01-09;5010;4750
PROD-0000038;2008-01-09;5960;5730
PROD-0000039;2008-01-09;5470;5200
PROD-0000040;2008-01-09;15150;14310
PROD-0000041;2008-01-09;13130;12470
PROD-0000001;2008-01-10;11020;10390
PROD-0000002;2008-01-10;4190;3950
PROD-0000003;2008-01-10;6190;5890
PROD-0000004;2008-01-10;8030;7620
PROD-0000005;2008-01-10;7140;6720
PROD-0000006;2008-01-10;8050;7660
PROD-0000007;2008-01-10;4650;4370
PROD-0000008;2008-01-10;1070;1010
PROD-0000009;2008-01-10;4660;4460
PROD-0000010;2008-01-10;1090;1040
PROD-0000011;2008-01-10;1200;1150
PROD-0000012;2008-01-10;3490;3300
PROD-0000013;2008-01-10;12200;11630
PROD-0000014;2008-01-10;11390;10740
PROD-0000015;2008-01-10;19150;17960
PROD-0000016;2008-01-10;96000;91200
PROD-0000017;2008-01-10;1200;1140
PROD-0000018;2008-01-10;8850;8460
PROD-0000019;2008-01-10;6010;5700
PROD-0000020;2008-01-10;5260;4930
PROD-0000021;2008-01-10;11930;11400
PROD-0000022;2008-01-10;70000;67130
PROD-0000023;2008-01-10;13970;13300
PROD-0000024;2008-01-10;14910;14250
PROD-0000025;2008-01-10;10040;9520
PROD-0000026;2008-01-10;900;860
PROD-0000027;2008-01-10;11980;11450
PROD-0000028;2008-01-10;54560;52250
PROD-0000029;2008-01-10;6060;5690
PROD-0000030;2008-01-10;4000;3800
PROD-0000031;2008-01-10;17860;17080
PROD-0000032;2008-01-10;5020;4710
PROD-0000033;2008-01-10;15660;14760
PROD-0000034;2008-01-10;20200;19000
PROD-0000035;2008-01-10;5980;5700
PROD-0000036;2008-01-10;30240;28400
PROD-0000037;2008-01-10;5040;4740
PROD-0000038;2008-01-10;5980;5670
PROD-0000039;2008-01-10;5500;5240
PROD-0000040;2008-01-10;15030;14230
PROD-0000041;2008-01-10;12970;12450
PROD-0000001;2008-01-11;10930;10450
PROD-0000002;2008-01-11;4180;3990
PROD-0000003;2008-01-11;6150;5920
PROD-0000004;2008-01-11;8080;7600
PROD-0000005;2008-01-11;7140;6740
PROD-0000006;2008-01-11;7940;7660
PROD-0000007;2008-01-11;4600;4340
PROD-0000008;2008-01-11;1070;1020
PROD-0000009;2008-01-11;4740;4460
PROD-0000010;2008-01-11;1100;1050
PROD-0000011;2008-01-11;1200;1140
PROD-0000012;2008-01-11;3500;3320
PROD-0000013;2008-01-11;12270;11590
PROD-0000014;2008-01-11;11390;10740
PROD-0000015;2008-01-11;18890;17890
PROD-0000016;2008-01-11;95620;91200
PROD-0000017;2008-01-11;1200;1140
PROD-0000018;2008-01-11;8900;8500
PROD-0000019;2008-01-11;6020;5700
PROD-0000020;2008-01-11;5200;4970
PROD-0000021;2008-01-11;12070;11500
PROD-0000022;2008-01-11;70000;66500
PROD-0000023;2008-01-11;14110;13300
PROD-0000024;2008-01-11;15000;14360
PROD-0000025;2008-01-11;10020;9580
PROD-0000026;2008-01-11;890;850
PROD-0000027;2008-01-11;11980;11380
PROD-0000028;2008-01-11;55550;52170
PROD-0000029;2008-01-11;6050;5700
PROD-0000030;2008-01-11;4020;3800
PROD-0000031;2008-01-11;18140;17230
PROD-0000032;2008-01-11;5050;4770
PROD-0000033;2008-01-11;15410;14860
PROD-0000034;2008-01-11;20120;19000
PROD-0000035;2008-01-11;5980;5700
PROD-0000036;2008-01-11;30060;28380
PROD-0000037;2008-01-11;4980;4730
PROD-0000038;2008-01-11;6050;5700
PROD-0000039;2008-01-11;5540;5250
PROD-0000040;2008-01-11;15120;14180
PROD-0000041;2008-01-11;13080;12350
PROD-0000001;2008-01-12;10980;10390
PROD-0000002;2008-01-12;4230;3970
PROD-0000003;2008-01-12;6190;5830
PROD-0000004;2008-01-12;7940;7600
PROD-0000005;2008-01-12;7090;6690
PROD-0000006;2008-01-12;7970;7590
PROD-0000007;2008-01-12;4650;4410
PROD-0000008;2008-01-12;1070;1020
PROD-0000009;2008-01-12;4670;4500
PROD-0000010;2008-01-12;1110;1040
PROD-0000011;2008-01-12;1210;1130
PROD-0000012;2008-01-12;3510;3300
PROD-0000013;2008-01-12;12250;11700
PROD-0000014;2008-01-12;11250;10740
PROD-0000015;2008-01-12;19150;17960
PROD-0000016;2008-01-12;96580;91050
PROD-0000017;2008-01-12;1210;1140
PROD-0000018;2008-01-12;8920;8450
PROD-0000019;2008-01-12;6020;5700
PROD-0000020;2008-01-12;5260;5000
PROD-0000021;2008-01-12;11950;11400
PROD-0000022;2008-01-12;69440;65910
PROD-0000023;2008-01-12;14140;13330
PROD-0000024;2008-01-12;15030;14190
PROD-0000025;2008-01-12;10040;9450
PROD-0000026;2008-01-12;910;860
PROD-0000027;2008-01-12;11950;11500
PROD-0000028;2008-01-12;55000;52120
PROD-0000029;2008-01-12;5960;5740
PROD-0000030;2008-01-12;4020;3790
PROD-0000031;2008-01-12;17960;17100
PROD-0000032;2008-01-12;5020;4750
PROD-0000033;2008-01-12;15530;14710
PROD-0000034;2008-01-12;20040;19120
PROD-0000035;2008-01-12;5980;5700
PROD-0000036;2008-01-12;29880;28630
PROD-0000037;2008-01-12;4960;4750
PROD-0000038;2008-01-12;5990;5680
PROD-0000039;2008-01-12;5480;5280
PROD-0000040;2008-01-12;15120;14340
PROD-0000041;2008-01-12;12900;12420
PROD-0000001;2008-01-13;11020;10530
PROD-0000002;2008-01-13;4190;3990
PROD-0000003;2008-01-13;6150;5900
PROD-0000004;2008-01-13;8030;7670
PROD-0000005;2008-01-13;7060;6740
PROD-0000006;2008-01-13;8050;7520
PROD-0000007;2008-01-13;4650;4380
PROD-0000008;2008-01-13;1080;1010
PROD-0000009;2008-01-13;4720;4420
PROD-0000010;2008-01-13;1110;1060
PROD-0000011;2008-01-13;1210;1140
PROD-0000012;2008-01-13;3510;3320
PROD-0000013;2008-01-13;12180;11630
PROD-0000014;2008-01-13;11320;10750
PROD-0000015;2008-01-13;18890;18030
PROD-0000016;2008-01-13;96190;91200
PROD-0000017;2008-01-13;1210;1140
PROD-0000018;2008-01-13;8990;8480
PROD-0000019;2008-01-13;5990;5740
PROD-0000020;2008-01-13;5260;4960
PROD-0000021;2008-01-13;12120;11440
PROD-0000022;2008-01-13;70560;66500
PROD-0000023;2008-01-13;13940;13200
PROD-0000024;2008-01-13;15090;14250
PROD-0000025;2008-01-13;9960;9500
PROD-0000026;2008-01-13;910;860
PROD-0000027;2008-01-13;11930;11400
PROD-0000028;2008-01-13;54670;52250
PROD-0000029;2008-01-13;6060;5680
PROD-0000030;2008-01-13;4000;3780
PROD-0000031;2008-01-13;18180;17160
PROD-0000032;2008-01-13;5030;4770
PROD-0000033;2008-01-13;15410;14850
PROD-0000034;2008-01-13;20000;18980
PROD-0000035;2008-01-13;6060;5730
PROD-0000036;2008-01-13;30180;28500
PROD-0000037;2008-01-13;4990;4750
PROD-0000038;2008-01-13;6040;5700
PROD-0000039;2008-01-13;5460;5210
PROD-0000040;2008-01-13;15060;14290
PROD-0000041;2008-01-13;13080;12350
PROD-0000001;2008-01-14;11020;10370
PROD-0000002;2008-01-14;4210;3980
PROD-0000003;2008-01-14;6220;5890
PROD-0000004;2008-01-14;7950;7650
PROD-0000005;2008-01-14;7140;6740
PROD-0000006;2008-01-14;7950;7550
PROD-0000007;2008-01-14;4600;4340
PROD-0000008;2008-01-14;1060;1010
PROD-0000009;2008-01-14;4680;4450
PROD-0000010;2008-01-14;1100;1050
PROD-0000011;2008-01-14;1190;1140
PROD-0000012;2008-01-14;3510;3320
PROD-0000013;2008-01-14;12250;11640
PROD-0000014;2008-01-14;11390;10740
PROD-0000015;2008-01-14;18890;18130
PROD-0000016;2008-01-14;96000;91200
PROD-0000017;2008-01-14;1200;1130
PROD-0000018;2008-01-14;8970;8460
PROD-0000019;2008-01-14;5960;5700
PROD-0000020;2008-01-14;5220;4970
PROD-0000021;2008-01-14;11950;11350
PROD-0000022;2008-01-14;70420;66040
PROD-0000023;2008-01-14;13890;13310
PROD-0000024;2008-01-14;14910;14230
PROD-0000025;2008-01-14;9920;9440
PROD-0000026;2008-01-14;900;860
PROD-0000027;2008-01-14;12070;11460
PROD-0000028;2008-01-14;54780;52250
PROD-0000029;2008-01-14;5990;5690
PROD-0000030;2008-01-14;3980;3800
PROD-0000031;2008-01-14;18140;17100
PROD-0000032;2008-01-14;4960;4770
PROD-0000033;2008-01-14;15560;14820
PROD-0000034;2008-01-14;19920;19000
PROD-0000035;2008-01-14;5990;5750
PROD-0000036;2008-01-14;30000;28330
PROD-0000037;2008-01-14;5050;4750
PROD-0000038;2008-01-14;6000;5740
PROD-0000039;2008-01-14;5540;5230
PROD-0000040;2008-01-14;15000;14190
PROD-0000041;2008-01-14;13050;12350
PROD-0000001;2008-01-15;10960;10450
PROD-0000002;2008-01-15;4170;3970
PROD-0000003;2008-01-15;6200;5890
PROD-0000004;2008-01-15;7940;7540
PROD-0000005;2008-01-15;7070;6740
PROD-0000006;2008-01-15;7940;7520
PROD-0000007;2008-01-15;4640;4410
PROD-0000008;2008-01-15;1060;1010
PROD-0000009;2008-01-15;4710;4460
PROD-0000010;2008-01-15;1100;1040
PROD-0000011;2008-01-15;1200;1140
PROD-0000012;2008-01-15;3490;3350
PROD-0000013;2008-01-15;12180;11530
PROD-0000014;2008-01-15;11370;10790
PROD-0000015;2008-01-15;19080;18110
PROD-0000016;2008-01-15;96190;90340
PROD-0000017;2008-01-15;1210;1140
PROD-0000018;2008-01-15;8860;8520
PROD-0000019;2008-01-15;6010;5700
PROD-0000020;2008-01-15;5210;5020
PROD-0000021;2008-01-15;12050;11280
PROD-0000022;2008-01-15;69720;65920
PROD-0000023;2008-01-15;14060;13270
PROD-0000024;2008-01-15;15090;14210
PROD-0000025;2008-01-15;10020;9480
PROD-0000026;2008-01-15;910;860
PROD-0000027;2008-01-15;11950;11400
PROD-0000028;2008-01-15;54890;52250
PROD-0000029;2008-01-15;6040;5700
PROD-0000030;2008-01-15;4010;3820
PROD-0000031;2008-01-15;17860;17200
PROD-0000032;2008-01-15;4960;4710
PROD-0000033;2008-01-15;15380;14570
PROD-0000034;2008-01-15;19960;19090
PROD-0000035;2008-01-15;6060;5690
PROD-0000036;2008-01-15;29760;28350
PROD-0000037;2008-01-15;5050;4730
PROD-0000038;2008-01-15;5990;5710
PROD-0000039;2008-01-15;5560;5220
PROD-0000040;2008-01-15;15000;14290
PROD-0000041;2008-01-15;12920;12400
PROD-0000001;2008-01-16;10930;10370
PROD-0000002;2008-01-16;4230;4010
PROD-0000003;2008-01-16;6220;5920
PROD-0000004;2008-01-16;8060;7650
PROD-0000005;2008-01-16;7070;6740
PROD-0000006;2008-01-16;7980;7600
PROD-0000007;2008-01-16;4620;4400
PROD-0000008;2008-01-16;1060;1010
PROD-0000009;2008-01-16;4750;4480
PROD-0000010;2008-01-16;1100;1040
PROD-0000011;2008-01-16;1210;1150
PROD-0000012;2008-01-16;3490;3350
PROD-0000013;2008-01-16;12270;11540
PROD-0000014;2008-01-16;11320;10760
PROD-0000015;2008-01-16;19150;18090
PROD-0000016;2008-01-16;96000;91200
PROD-0000017;2008-01-16;1190;1140
PROD-0000018;2008-01-16;8940;8420
PROD-0000019;2008-01-16;5980;5740
PROD-0000020;2008-01-16;5230;4970
PROD-0000021;2008-01-16;12000;11410
PROD-0000022;2008-01-16;70700;66490
PROD-0000023;2008-01-16;13970;13290
PROD-0000024;2008-01-16;15000;14390
PROD-0000025;2008-01-16;9920;9560
PROD-0000026;2008-01-16;900;850
PROD-0000027;2008-01-16;11900;11400
PROD-0000028;2008-01-16;55220;52250
PROD-0000029;2008-01-16;5980;5710
PROD-0000030;2008-01-16;4020;3840
PROD-0000031;2008-01-16;18180;17100
PROD-0000032;2008-01-16;4980;4780
PROD-0000033;2008-01-16;15500;14720
PROD-0000034;2008-01-16;20120;19000
PROD-0000035;2008-01-16;6010;5670
PROD-0000036;2008-01-16;29760;28360
PROD-0000037;2008-01-16;5020;4750
PROD-0000038;2008-01-16;5950;5750
PROD-0000039;2008-01-16;5480;5240
PROD-0000040;2008-01-16;14910;14230
PROD-0000041;2008-01-16;13050;12310
PROD-0000001;2008-01-17;11070;10450
PROD-0000002;2008-01-17;4240;4000
PROD-0000003;2008-01-17;6160;5910
PROD-0000004;2008-01-17;8050;7530
PROD-0000005;2008-01-17;7170;6800
PROD-0000006;2008-01-17;8020;7600
PROD-0000007;2008-01-17;4630;4390
PROD-0000008;2008-01-17;1060;1010
PROD-0000009;2008-01-17;4730;4460
